,Unnamed: 0,ID,Date,Cases,Cases_New,Type,Age,Sex,Source
34340,34340,AT,2020-01-03,-17.0,-17.0,Active,Total,Total,JRC
34341,34341,AT,2020-01-03,1.0,1.0,Confirmed,Total,Total,JRC
34342,34342,AT,2020-01-03,0.0,0.0,Deaths,Total,Total,JRC
34343,34343,AT,2020-01-03,0.0,0.0,Hospitalized,Total,Total,JRC
34344,34344,AT,2020-01-03,0.0,0.0,ICU,Total,Total,JRC
34345,34345,AT,2020-01-03,18.0,18.0,Recovered,Total,Total,JRC
34346,34346,AT,2020-01-04,-17.0,0.0,Active,Total,Total,JRC
34347,34347,AT,2020-01-04,1.0,0.0,Confirmed,Total,Total,JRC
34348,34348,AT,2020-01-04,0.0,0.0,Deaths,Total,Total,JRC
34349,34349,AT,2020-01-04,0.0,0.0,Hospitalized,Total,Total,JRC
34350,34350,AT,2020-01-04,0.0,0.0,ICU,Total,Total,JRC
34351,34351,AT,2020-01-04,18.0,0.0,Recovered,Total,Total,JRC
34352,34352,AT,2020-01-05,-17.0,0.0,Active,Total,Total,JRC
34353,34353,AT,2020-01-05,1.0,0.0,Confirmed,Total,Total,JRC
34354,34354,AT,2020-01-05,0.0,0.0,Deaths,Total,Total,JRC
34355,34355,AT,2020-01-05,0.0,0.0,Hospitalized,Total,Total,JRC
34356,34356,AT,2020-01-05,0.0,0.0,ICU,Total,Total,JRC
34357,34357,AT,2020-01-05,18.0,0.0,Recovered,Total,Total,JRC
34358,34358,AT,2020-01-06,-17.0,0.0,Active,Total,Total,JRC
34359,34359,AT,2020-01-06,1.0,0.0,Confirmed,Total,Total,JRC
34360,34360,AT,2020-01-06,0.0,0.0,Deaths,Total,Total,JRC
34361,34361,AT,2020-01-06,0.0,0.0,Hospitalized,Total,Total,JRC
34362,34362,AT,2020-01-06,0.0,0.0,ICU,Total,Total,JRC
34363,34363,AT,2020-01-06,18.0,0.0,Recovered,Total,Total,JRC
34364,34364,AT,2020-01-07,-17.0,0.0,Active,Total,Total,JRC
34365,34365,AT,2020-01-07,1.0,0.0,Confirmed,Total,Total,JRC
34366,34366,AT,2020-01-07,0.0,0.0,Deaths,Total,Total,JRC
34367,34367,AT,2020-01-07,0.0,0.0,Hospitalized,Total,Total,JRC
34368,34368,AT,2020-01-07,0.0,0.0,ICU,Total,Total,JRC
34369,34369,AT,2020-01-07,18.0,0.0,Recovered,Total,Total,JRC
34370,34370,AT,2020-01-08,-17.0,0.0,Active,Total,Total,JRC
34371,34371,AT,2020-01-08,1.0,0.0,Confirmed,Total,Total,JRC
34372,34372,AT,2020-01-08,0.0,0.0,Deaths,Total,Total,JRC
34373,34373,AT,2020-01-08,0.0,0.0,Hospitalized,Total,Total,JRC
34374,34374,AT,2020-01-08,0.0,0.0,ICU,Total,Total,JRC
34375,34375,AT,2020-01-08,18.0,0.0,Recovered,Total,Total,JRC
34376,34376,AT,2020-01-09,-17.0,0.0,Active,Total,Total,JRC
34377,34377,AT,2020-01-09,1.0,0.0,Confirmed,Total,Total,JRC
34378,34378,AT,2020-01-09,0.0,0.0,Deaths,Total,Total,JRC
34379,34379,AT,2020-01-09,0.0,0.0,Hospitalized,Total,Total,JRC
