,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
115830,115830,AT,2020-01-01,C1,0.0,,,OxCGRT
115831,115831,AT,2020-01-01,C2,0.0,,,OxCGRT
115832,115832,AT,2020-01-01,C3,0.0,,,OxCGRT
115833,115833,AT,2020-01-01,C4,0.0,,,OxCGRT
115834,115834,AT,2020-01-01,C5,0.0,,,OxCGRT
115835,115835,AT,2020-01-01,C6,0.0,,,OxCGRT
115836,115836,AT,2020-01-01,C7,0.0,,,OxCGRT
115837,115837,AT,2020-01-01,C8,0.0,,,OxCGRT
115838,115838,AT,2020-01-01,Cases,,,,OxCGRT
115839,115839,AT,2020-01-01,Deaths,,,,OxCGRT
115840,115840,AT,2020-01-01,E1,0.0,,,OxCGRT
115841,115841,AT,2020-01-01,E2,0.0,,,OxCGRT
115842,115842,AT,2020-01-01,E3,0.0,,,OxCGRT
115843,115843,AT,2020-01-01,E4,0.0,,,OxCGRT
115844,115844,AT,2020-01-01,H1,0.0,,,OxCGRT
115845,115845,AT,2020-01-01,H2,0.0,,,OxCGRT
115846,115846,AT,2020-01-01,H3,0.0,,,OxCGRT
115847,115847,AT,2020-01-01,H4,0.0,,,OxCGRT
115848,115848,AT,2020-01-01,H5,0.0,,,OxCGRT
115849,115849,AT,2020-01-01,H6,0.0,,,OxCGRT
115850,115850,AT,2020-01-01,H7,0.0,,,OxCGRT
115851,115851,AT,2020-01-01,H8,0.0,,,OxCGRT
115852,115852,AT,2020-01-01,I1,0.0,,,OxCGRT
115853,115853,AT,2020-01-01,I1D,0.0,,,OxCGRT
115854,115854,AT,2020-01-01,I2,0.0,,,OxCGRT
115855,115855,AT,2020-01-01,I2D,0.0,,,OxCGRT
115856,115856,AT,2020-01-01,I3,0.0,,,OxCGRT
115857,115857,AT,2020-01-01,I3D,0.0,,,OxCGRT
115858,115858,AT,2020-01-01,I4,0.0,,,OxCGRT
115859,115859,AT,2020-01-01,I4D,0.0,,,OxCGRT
115860,115860,AT,2020-01-01,I4L,0.0,,,OxCGRT
115861,115861,AT,2020-01-01,I4LD,0.0,,,OxCGRT
115862,115862,AT,2020-01-01,M1,,,,OxCGRT
115863,115863,AT,2020-01-02,C1,0.0,,,OxCGRT
115864,115864,AT,2020-01-02,C2,0.0,,,OxCGRT
115865,115865,AT,2020-01-02,C3,0.0,,,OxCGRT
115866,115866,AT,2020-01-02,C4,0.0,,,OxCGRT
115867,115867,AT,2020-01-02,C5,0.0,,,OxCGRT
115868,115868,AT,2020-01-02,C6,0.0,,,OxCGRT
115869,115869,AT,2020-01-02,C7,0.0,,,OxCGRT
115870,115870,AT,2020-01-02,C8,0.0,,,OxCGRT
115871,115871,AT,2020-01-02,Cases,,,,OxCGRT
115872,115872,AT,2020-01-02,Deaths,,,,OxCGRT
115873,115873,AT,2020-01-02,E1,0.0,,,OxCGRT
115874,115874,AT,2020-01-02,E2,0.0,,,OxCGRT
115875,115875,AT,2020-01-02,E3,0.0,,,OxCGRT
115876,115876,AT,2020-01-02,E4,0.0,,,OxCGRT
115877,115877,AT,2020-01-02,H1,0.0,,,OxCGRT
115878,115878,AT,2020-01-02,H2,0.0,,,OxCGRT
115879,115879,AT,2020-01-02,H3,0.0,,,OxCGRT
115880,115880,AT,2020-01-02,H4,0.0,,,OxCGRT
115881,115881,AT,2020-01-02,H5,0.0,,,OxCGRT
115882,115882,AT,2020-01-02,H6,0.0,,,OxCGRT
115883,115883,AT,2020-01-02,H7,0.0,,,OxCGRT
115884,115884,AT,2020-01-02,H8,0.0,,,OxCGRT
115885,115885,AT,2020-01-02,I1,0.0,,,OxCGRT
115886,115886,AT,2020-01-02,I1D,0.0,,,OxCGRT
115887,115887,AT,2020-01-02,I2,0.0,,,OxCGRT
115888,115888,AT,2020-01-02,I2D,0.0,,,OxCGRT
115889,115889,AT,2020-01-02,I3,0.0,,,OxCGRT
115890,115890,AT,2020-01-02,I3D,0.0,,,OxCGRT
115891,115891,AT,2020-01-02,I4,0.0,,,OxCGRT
115892,115892,AT,2020-01-02,I4D,0.0,,,OxCGRT
115893,115893,AT,2020-01-02,I4L,0.0,,,OxCGRT
115894,115894,AT,2020-01-02,I4LD,0.0,,,OxCGRT
115895,115895,AT,2020-01-02,M1,,,,OxCGRT
115896,115896,AT,2020-01-03,C1,0.0,,,OxCGRT
115897,115897,AT,2020-01-03,C2,0.0,,,OxCGRT
115898,115898,AT,2020-01-03,C3,0.0,,,OxCGRT
115899,115899,AT,2020-01-03,C4,0.0,,,OxCGRT
115900,115900,AT,2020-01-03,C5,0.0,,,OxCGRT
115901,115901,AT,2020-01-03,C6,0.0,,,OxCGRT
115902,115902,AT,2020-01-03,C7,0.0,,,OxCGRT
115903,115903,AT,2020-01-03,C8,0.0,,,OxCGRT
115904,115904,AT,2020-01-03,Cases,,,,OxCGRT
115905,115905,AT,2020-01-03,Deaths,,,,OxCGRT
115906,115906,AT,2020-01-03,E1,0.0,,,OxCGRT
115907,115907,AT,2020-01-03,E2,0.0,,,OxCGRT
