,Unnamed: 0,ID,Date,Cases,Cases_New,Type,Age,Sex,Source
78191,78191,BE,2020-01-03,17.0,17.0,Active,Total,Total,JRC
78192,78192,BE,2020-01-03,17.0,17.0,Confirmed,Total,Total,JRC
78193,78193,BE,2020-01-03,0.0,0.0,Deaths,Total,Total,JRC
78194,78194,BE,2020-01-03,0.0,0.0,Hospitalized,Total,Total,JRC
78195,78195,BE,2020-01-03,0.0,0.0,ICU,Total,Total,JRC
78196,78196,BE,2020-01-04,17.0,0.0,Active,Total,Total,JRC
78197,78197,BE,2020-01-04,17.0,0.0,Confirmed,Total,Total,JRC
78198,78198,BE,2020-01-04,0.0,0.0,Deaths,Total,Total,JRC
78199,78199,BE,2020-01-04,0.0,0.0,Hospitalized,Total,Total,JRC
78200,78200,BE,2020-01-04,0.0,0.0,ICU,Total,Total,JRC
78201,78201,BE,2020-01-05,17.0,0.0,Active,Total,Total,JRC
78202,78202,BE,2020-01-05,17.0,0.0,Confirmed,Total,Total,JRC
78203,78203,BE,2020-01-05,0.0,0.0,Deaths,Total,Total,JRC
78204,78204,BE,2020-01-05,0.0,0.0,Hospitalized,Total,Total,JRC
78205,78205,BE,2020-01-05,0.0,0.0,ICU,Total,Total,JRC
78206,78206,BE,2020-01-06,17.0,0.0,Active,Total,Total,JRC
78207,78207,BE,2020-01-06,17.0,0.0,Confirmed,Total,Total,JRC
78208,78208,BE,2020-01-06,0.0,0.0,Deaths,Total,Total,JRC
78209,78209,BE,2020-01-06,0.0,0.0,Hospitalized,Total,Total,JRC
78210,78210,BE,2020-01-06,0.0,0.0,ICU,Total,Total,JRC
78211,78211,BE,2020-01-07,17.0,0.0,Active,Total,Total,JRC
78212,78212,BE,2020-01-07,17.0,0.0,Confirmed,Total,Total,JRC
78213,78213,BE,2020-01-07,0.0,0.0,Deaths,Total,Total,JRC
78214,78214,BE,2020-01-07,0.0,0.0,Hospitalized,Total,Total,JRC
78215,78215,BE,2020-01-07,0.0,0.0,ICU,Total,Total,JRC
78216,78216,BE,2020-01-08,17.0,0.0,Active,Total,Total,JRC
78217,78217,BE,2020-01-08,17.0,0.0,Confirmed,Total,Total,JRC
78218,78218,BE,2020-01-08,0.0,0.0,Deaths,Total,Total,JRC
78219,78219,BE,2020-01-08,0.0,0.0,Hospitalized,Total,Total,JRC
78220,78220,BE,2020-01-08,0.0,0.0,ICU,Total,Total,JRC
78221,78221,BE,2020-01-09,17.0,0.0,Active,Total,Total,JRC
78222,78222,BE,2020-01-09,17.0,0.0,Confirmed,Total,Total,JRC
78223,78223,BE,2020-01-09,0.0,0.0,Deaths,Total,Total,JRC
78224,78224,BE,2020-01-09,0.0,0.0,Hospitalized,Total,Total,JRC
78225,78225,BE,2020-01-09,0.0,0.0,ICU,Total,Total,JRC
78226,78226,BE,2020-01-10,17.0,0.0,Active,Total,Total,JRC
78227,78227,BE,2020-01-10,17.0,0.0,Confirmed,Total,Total,JRC
78228,78228,BE,2020-01-10,0.0,0.0,Deaths,Total,Total,JRC
78229,78229,BE,2020-01-10,0.0,0.0,Hospitalized,Total,Total,JRC
78230,78230,BE,2020-01-10,0.0,0.0,ICU,Total,Total,JRC
78231,78231,BE,2020-01-11,17.0,0.0,Active,Total,Total,JRC
78232,78232,BE,2020-01-11,17.0,0.0,Confirmed,Total,Total,JRC
78233,78233,BE,2020-01-11,0.0,0.0,Deaths,Total,Total,JRC
78234,78234,BE,2020-01-11,0.0,0.0,Hospitalized,Total,Total,JRC
78235,78235,BE,2020-01-11,0.0,0.0,ICU,Total,Total,JRC
78236,78236,BE,2020-01-12,17.0,0.0,Active,Total,Total,JRC
78237,78237,BE,2020-01-12,17.0,0.0,Confirmed,Total,Total,JRC
78238,78238,BE,2020-01-12,0.0,0.0,Deaths,Total,Total,JRC
78239,78239,BE,2020-01-12,0.0,0.0,Hospitalized,Total,Total,JRC
78240,78240,BE,2020-01-12,0.0,0.0,ICU,Total,Total,JRC
78241,78241,BE,2020-01-13,17.0,0.0,Active,Total,Total,JRC
78242,78242,BE,2020-01-13,17.0,0.0,Confirmed,Total,Total,JRC
78243,78243,BE,2020-01-13,0.0,0.0,Deaths,Total,Total,JRC
78244,78244,BE,2020-01-13,0.0,0.0,Hospitalized,Total,Total,JRC
78245,78245,BE,2020-01-13,0.0,0.0,ICU,Total,Total,JRC
78246,78246,BE,2020-01-14,17.0,0.0,Active,Total,Total,JRC
78247,78247,BE,2020-01-14,17.0,0.0,Confirmed,Total,Total,JRC
78248,78248,BE,2020-01-14,0.0,0.0,Deaths,Total,Total,JRC
78249,78249,BE,2020-01-14,0.0,0.0,Hospitalized,Total,Total,JRC
78250,78250,BE,2020-01-14,0.0,0.0,ICU,Total,Total,JRC
78251,78251,BE,2020-01-15,17.0,0.0,Active,Total,Total,JRC
78252,78252,BE,2020-01-15,17.0,0.0,Confirmed,Total,Total,JRC
78253,78253,BE,2020-01-15,0.0,0.0,Deaths,Total,Total,JRC
78254,78254,BE,2020-01-15,0.0,0.0,Hospitalized,Total,Total,JRC
78255,78255,BE,2020-01-15,0.0,0.0,ICU,Total,Total,JRC
78256,78256,BE,2020-01-16,17.0,0.0,Active,Total,Total,JRC
78257,78257,BE,2020-01-16,17.0,0.0,Confirmed,Total,Total,JRC
78258,78258,BE,2020-01-16,0.0,0.0,Deaths,Total,Total,JRC
78259,78259,BE,2020-01-16,0.0,0.0,Hospitalized,Total,Total,JRC
78260,78260,BE,2020-01-16,0.0,0.0,ICU,Total,Total,JRC
78261,78261,BE,2020-01-17,17.0,0.0,Active,Total,Total,JRC
78262,78262,BE,2020-01-17,17.0,0.0,Confirmed,Total,Total,JRC
78263,78263,BE,2020-01-17,0.0,0.0,Deaths,Total,Total,JRC
78264,78264,BE,2020-01-17,0.0,0.0,Hospitalized,Total,Total,JRC
78265,78265,BE,2020-01-17,0.0,0.0,ICU,Total,Total,JRC
78266,78266,BE,2020-01-18,17.0,0.0,Active,Total,Total,JRC
78267,78267,BE,2020-01-18,17.0,0.0,Confirmed,Total,Total,JRC
