,Unnamed: 0,ID,Date,PolicyType,PolicyValue,PolicyFlag,PolicyNotes,PolicySource
250965,250965,BE,2020-01-01,C1,0.0,,,OxCGRT
250966,250966,BE,2020-01-01,C2,0.0,,,OxCGRT
250967,250967,BE,2020-01-01,C3,0.0,,,OxCGRT
250968,250968,BE,2020-01-01,C4,0.0,,,OxCGRT
250969,250969,BE,2020-01-01,C5,0.0,,,OxCGRT
250970,250970,BE,2020-01-01,C6,0.0,,,OxCGRT
250971,250971,BE,2020-01-01,C7,0.0,,,OxCGRT
250972,250972,BE,2020-01-01,C8,0.0,,,OxCGRT
250973,250973,BE,2020-01-01,Cases,,,,OxCGRT
250974,250974,BE,2020-01-01,Deaths,,,,OxCGRT
250975,250975,BE,2020-01-01,E1,0.0,,,OxCGRT
250976,250976,BE,2020-01-01,E2,0.0,,,OxCGRT
250977,250977,BE,2020-01-01,E3,0.0,,,OxCGRT
250978,250978,BE,2020-01-01,E4,0.0,,,OxCGRT
250979,250979,BE,2020-01-01,H1,0.0,,,OxCGRT
250980,250980,BE,2020-01-01,H2,0.0,,,OxCGRT
250981,250981,BE,2020-01-01,H3,0.0,,,OxCGRT
250982,250982,BE,2020-01-01,H4,0.0,,,OxCGRT
250983,250983,BE,2020-01-01,H5,0.0,,,OxCGRT
250984,250984,BE,2020-01-01,H6,0.0,,,OxCGRT
250985,250985,BE,2020-01-01,H7,0.0,,,OxCGRT
250986,250986,BE,2020-01-01,H8,0.0,,,OxCGRT
250987,250987,BE,2020-01-01,I1,0.0,,,OxCGRT
250988,250988,BE,2020-01-01,I1D,0.0,,,OxCGRT
250989,250989,BE,2020-01-01,I2,0.0,,,OxCGRT
250990,250990,BE,2020-01-01,I2D,0.0,,,OxCGRT
250991,250991,BE,2020-01-01,I3,0.0,,,OxCGRT
250992,250992,BE,2020-01-01,I3D,0.0,,,OxCGRT
250993,250993,BE,2020-01-01,I4,0.0,,,OxCGRT
250994,250994,BE,2020-01-01,I4D,0.0,,,OxCGRT
250995,250995,BE,2020-01-01,I4L,0.0,,,OxCGRT
250996,250996,BE,2020-01-01,I4LD,0.0,,,OxCGRT
250997,250997,BE,2020-01-01,M1,,,,OxCGRT
250998,250998,BE,2020-01-02,C1,0.0,,,OxCGRT
250999,250999,BE,2020-01-02,C2,0.0,,,OxCGRT
251000,251000,BE,2020-01-02,C3,0.0,,,OxCGRT
251001,251001,BE,2020-01-02,C4,0.0,,,OxCGRT
251002,251002,BE,2020-01-02,C5,0.0,,,OxCGRT
251003,251003,BE,2020-01-02,C6,0.0,,,OxCGRT
251004,251004,BE,2020-01-02,C7,0.0,,,OxCGRT
251005,251005,BE,2020-01-02,C8,0.0,,,OxCGRT
251006,251006,BE,2020-01-02,Cases,,,,OxCGRT
251007,251007,BE,2020-01-02,Deaths,,,,OxCGRT
251008,251008,BE,2020-01-02,E1,0.0,,,OxCGRT
251009,251009,BE,2020-01-02,E2,0.0,,,OxCGRT
251010,251010,BE,2020-01-02,E3,0.0,,,OxCGRT
251011,251011,BE,2020-01-02,E4,0.0,,,OxCGRT
251012,251012,BE,2020-01-02,H1,0.0,,,OxCGRT
251013,251013,BE,2020-01-02,H2,0.0,,,OxCGRT
251014,251014,BE,2020-01-02,H3,0.0,,,OxCGRT
251015,251015,BE,2020-01-02,H4,0.0,,,OxCGRT
251016,251016,BE,2020-01-02,H5,0.0,,,OxCGRT
251017,251017,BE,2020-01-02,H6,0.0,,,OxCGRT
251018,251018,BE,2020-01-02,H7,0.0,,,OxCGRT
251019,251019,BE,2020-01-02,H8,0.0,,,OxCGRT
251020,251020,BE,2020-01-02,I1,0.0,,,OxCGRT
251021,251021,BE,2020-01-02,I1D,0.0,,,OxCGRT
251022,251022,BE,2020-01-02,I2,0.0,,,OxCGRT
251023,251023,BE,2020-01-02,I2D,0.0,,,OxCGRT
251024,251024,BE,2020-01-02,I3,0.0,,,OxCGRT
251025,251025,BE,2020-01-02,I3D,0.0,,,OxCGRT
251026,251026,BE,2020-01-02,I4,0.0,,,OxCGRT
251027,251027,BE,2020-01-02,I4D,0.0,,,OxCGRT
251028,251028,BE,2020-01-02,I4L,0.0,,,OxCGRT
251029,251029,BE,2020-01-02,I4LD,0.0,,,OxCGRT
251030,251030,BE,2020-01-02,M1,,,,OxCGRT
251031,251031,BE,2020-01-03,C1,0.0,,,OxCGRT
251032,251032,BE,2020-01-03,C2,0.0,,,OxCGRT
251033,251033,BE,2020-01-03,C3,0.0,,,OxCGRT
251034,251034,BE,2020-01-03,C4,0.0,,,OxCGRT
251035,251035,BE,2020-01-03,C5,0.0,,,OxCGRT
251036,251036,BE,2020-01-03,C6,0.0,,,OxCGRT
251037,251037,BE,2020-01-03,C7,0.0,,,OxCGRT
251038,251038,BE,2020-01-03,C8,0.0,,,OxCGRT
251039,251039,BE,2020-01-03,Cases,,,,OxCGRT
251040,251040,BE,2020-01-03,Deaths,,,,OxCGRT
251041,251041,BE,2020-01-03,E1,0.0,,,OxCGRT
251042,251042,BE,2020-01-03,E2,0.0,,,OxCGRT
251043,251043,BE,2020-01-03,E3,0.0,,,OxCGRT
251044,251044,BE,2020-01-03,E4,0.0,,,OxCGRT
251045,251045,BE,2020-01-03,H1,0.0,,,OxCGRT
251046,251046,BE,2020-01-03,H2,0.0,,,OxCGRT
251047,251047,BE,2020-01-03,H3,0.0,,,OxCGRT
251048,251048,BE,2020-01-03,H4,0.0,,,OxCGRT
251049,251049,BE,2020-01-03,H5,0.0,,,OxCGRT
251050,251050,BE,2020-01-03,H6,0.0,,,OxCGRT
251051,251051,BE,2020-01-03,H7,0.0,,,OxCGRT
251052,251052,BE,2020-01-03,H8,0.0,,,OxCGRT
251053,251053,BE,2020-01-03,I1,0.0,,,OxCGRT
251054,251054,BE,2020-01-03,I1D,0.0,,,OxCGRT
251055,251055,BE,2020-01-03,I2,0.0,,,OxCGRT
251056,251056,BE,2020-01-03,I2D,0.0,,,OxCGRT
251057,251057,BE,2020-01-03,I3,0.0,,,OxCGRT
251058,251058,BE,2020-01-03,I3D,0.0,,,OxCGRT
251059,251059,BE,2020-01-03,I4,0.0,,,OxCGRT
251060,251060,BE,2020-01-03,I4D,0.0,,,OxCGRT
251061,251061,BE,2020-01-03,I4L,0.0,,,OxCGRT
251062,251062,BE,2020-01-03,I4LD,0.0,,,OxCGRT
251063,251063,BE,2020-01-03,M1,,,,OxCGRT
251064,251064,BE,2020-01-04,C1,0.0,,,OxCGRT
251065,251065,BE,2020-01-04,C2,0.0,,,OxCGRT
251066,251066,BE,2020-01-04,C3,0.0,,,OxCGRT
251067,251067,BE,2020-01-04,C4,0.0,,,OxCGRT
251068,251068,BE,2020-01-04,C5,0.0,,,OxCGRT
251069,251069,BE,2020-01-04,C6,0.0,,,OxCGRT
251070,251070,BE,2020-01-04,C7,0.0,,,OxCGRT
251071,251071,BE,2020-01-04,C8,0.0,,,OxCGRT
251072,251072,BE,2020-01-04,Cases,,,,OxCGRT
251073,251073,BE,2020-01-04,Deaths,,,,OxCGRT
251074,251074,BE,2020-01-04,E1,0.0,,,OxCGRT
251075,251075,BE,2020-01-04,E2,0.0,,,OxCGRT
251076,251076,BE,2020-01-04,E3,0.0,,,OxCGRT
251077,251077,BE,2020-01-04,E4,0.0,,,OxCGRT
251078,251078,BE,2020-01-04,H1,0.0,,,OxCGRT
251079,251079,BE,2020-01-04,H2,0.0,,,OxCGRT
251080,251080,BE,2020-01-04,H3,0.0,,,OxCGRT
251081,251081,BE,2020-01-04,H4,0.0,,,OxCGRT
251082,251082,BE,2020-01-04,H5,0.0,,,OxCGRT
251083,251083,BE,2020-01-04,H6,0.0,,,OxCGRT
251084,251084,BE,2020-01-04,H7,0.0,,,OxCGRT
251085,251085,BE,2020-01-04,H8,0.0,,,OxCGRT
251086,251086,BE,2020-01-04,I1,0.0,,,OxCGRT
251087,251087,BE,2020-01-04,I1D,0.0,,,OxCGRT
251088,251088,BE,2020-01-04,I2,0.0,,,OxCGRT
251089,251089,BE,2020-01-04,I2D,0.0,,,OxCGRT
251090,251090,BE,2020-01-04,I3,0.0,,,OxCGRT
251091,251091,BE,2020-01-04,I3D,0.0,,,OxCGRT
251092,251092,BE,2020-01-04,I4,0.0,,,OxCGRT
251093,251093,BE,2020-01-04,I4D,0.0,,,OxCGRT
251094,251094,BE,2020-01-04,I4L,0.0,,,OxCGRT
251095,251095,BE,2020-01-04,I4LD,0.0,,,OxCGRT
251096,251096,BE,2020-01-04,M1,,,,OxCGRT
251097,251097,BE,2020-01-05,C1,0.0,,,OxCGRT
251098,251098,BE,2020-01-05,C2,0.0,,,OxCGRT
251099,251099,BE,2020-01-05,C3,0.0,,,OxCGRT
251100,251100,BE,2020-01-05,C4,0.0,,,OxCGRT
251101,251101,BE,2020-01-05,C5,0.0,,,OxCGRT
251102,251102,BE,2020-01-05,C6,0.0,,,OxCGRT
251103,251103,BE,2020-01-05,C7,0.0,,,OxCGRT
251104,251104,BE,2020-01-05,C8,0.0,,,OxCGRT
251105,251105,BE,2020-01-05,Cases,,,,OxCGRT
251106,251106,BE,2020-01-05,Deaths,,,,OxCGRT
251107,251107,BE,2020-01-05,E1,0.0,,,OxCGRT
251108,251108,BE,2020-01-05,E2,0.0,,,OxCGRT
251109,251109,BE,2020-01-05,E3,0.0,,,OxCGRT
251110,251110,BE,2020-01-05,E4,0.0,,,OxCGRT
251111,251111,BE,2020-01-05,H1,0.0,,,OxCGRT
251112,251112,BE,2020-01-05,H2,0.0,,,OxCGRT
251113,251113,BE,2020-01-05,H3,0.0,,,OxCGRT
251114,251114,BE,2020-01-05,H4,0.0,,,OxCGRT
251115,251115,BE,2020-01-05,H5,0.0,,,OxCGRT
251116,251116,BE,2020-01-05,H6,0.0,,,OxCGRT
251117,251117,BE,2020-01-05,H7,0.0,,,OxCGRT
251118,251118,BE,2020-01-05,H8,0.0,,,OxCGRT
251119,251119,BE,2020-01-05,I1,0.0,,,OxCGRT
251120,251120,BE,2020-01-05,I1D,0.0,,,OxCGRT
251121,251121,BE,2020-01-05,I2,0.0,,,OxCGRT
251122,251122,BE,2020-01-05,I2D,0.0,,,OxCGRT
251123,251123,BE,2020-01-05,I3,0.0,,,OxCGRT
251124,251124,BE,2020-01-05,I3D,0.0,,,OxCGRT
251125,251125,BE,2020-01-05,I4,0.0,,,OxCGRT
251126,251126,BE,2020-01-05,I4D,0.0,,,OxCGRT
251127,251127,BE,2020-01-05,I4L,0.0,,,OxCGRT
251128,251128,BE,2020-01-05,I4LD,0.0,,,OxCGRT
251129,251129,BE,2020-01-05,M1,,,,OxCGRT
251130,251130,BE,2020-01-06,C1,0.0,,,OxCGRT
251131,251131,BE,2020-01-06,C2,0.0,,,OxCGRT
251132,251132,BE,2020-01-06,C3,0.0,,,OxCGRT
251133,251133,BE,2020-01-06,C4,0.0,,,OxCGRT
251134,251134,BE,2020-01-06,C5,0.0,,,OxCGRT
251135,251135,BE,2020-01-06,C6,0.0,,,OxCGRT
251136,251136,BE,2020-01-06,C7,0.0,,,OxCGRT
251137,251137,BE,2020-01-06,C8,0.0,,,OxCGRT
251138,251138,BE,2020-01-06,Cases,,,,OxCGRT
251139,251139,BE,2020-01-06,Deaths,,,,OxCGRT
251140,251140,BE,2020-01-06,E1,0.0,,,OxCGRT
251141,251141,BE,2020-01-06,E2,0.0,,,OxCGRT
251142,251142,BE,2020-01-06,E3,0.0,,,OxCGRT
251143,251143,BE,2020-01-06,E4,0.0,,,OxCGRT
251144,251144,BE,2020-01-06,H1,0.0,,,OxCGRT
251145,251145,BE,2020-01-06,H2,0.0,,,OxCGRT
251146,251146,BE,2020-01-06,H3,0.0,,,OxCGRT
251147,251147,BE,2020-01-06,H4,0.0,,,OxCGRT
251148,251148,BE,2020-01-06,H5,0.0,,,OxCGRT
251149,251149,BE,2020-01-06,H6,0.0,,,OxCGRT
251150,251150,BE,2020-01-06,H7,0.0,,,OxCGRT
251151,251151,BE,2020-01-06,H8,0.0,,,OxCGRT
251152,251152,BE,2020-01-06,I1,0.0,,,OxCGRT
251153,251153,BE,2020-01-06,I1D,0.0,,,OxCGRT
251154,251154,BE,2020-01-06,I2,0.0,,,OxCGRT
251155,251155,BE,2020-01-06,I2D,0.0,,,OxCGRT
251156,251156,BE,2020-01-06,I3,0.0,,,OxCGRT
251157,251157,BE,2020-01-06,I3D,0.0,,,OxCGRT
251158,251158,BE,2020-01-06,I4,0.0,,,OxCGRT
251159,251159,BE,2020-01-06,I4D,0.0,,,OxCGRT
251160,251160,BE,2020-01-06,I4L,0.0,,,OxCGRT
251161,251161,BE,2020-01-06,I4LD,0.0,,,OxCGRT
251162,251162,BE,2020-01-06,M1,,,,OxCGRT
251163,251163,BE,2020-01-07,C1,0.0,,,OxCGRT
251164,251164,BE,2020-01-07,C2,0.0,,,OxCGRT
251165,251165,BE,2020-01-07,C3,0.0,,,OxCGRT
251166,251166,BE,2020-01-07,C4,0.0,,,OxCGRT
251167,251167,BE,2020-01-07,C5,0.0,,,OxCGRT
251168,251168,BE,2020-01-07,C6,0.0,,,OxCGRT
251169,251169,BE,2020-01-07,C7,0.0,,,OxCGRT
251170,251170,BE,2020-01-07,C8,0.0,,,OxCGRT
251171,251171,BE,2020-01-07,Cases,,,,OxCGRT
251172,251172,BE,2020-01-07,Deaths,,,,OxCGRT
